DATE_REFERAL,OBLAST,RAION,SETTLEMENTS,ADMIN1,ADMIN2,ADMIN4,INFORMANT,REFERRAL_AGENCY,GCA_NGCA,ALERT_TYPE,CONFLICT_RELATED,NEED_TYPE,DESCRIPTION,CONTEXT,AFFECTED,NO_AFFECTED,SOURCE_INFO,CLUSTER,RESPONSE_PARTNER,CONFIRMATION,ACTION,NO_BENEFICIARIES,STATUS,DATE_UPDATE,GAP_BENEFICIARIES,UNCOVERED_NEEDS,ADDITIONAL_INFO_LINK,COMMENTS,latitude,longitude
2016-03-30,Donetska,Yasynuvatskyi,Kamianka_1425582103,1400000000,1425500000,1425582103," "," ",GCA,"Need Overview"," ","Access to humanitarian assistance, Other","No infrastructure like postal service, shops, school, kindergarten, or administration is working in the village.","Since early 2014 very little humanitarian aid has arrived in the village. Electricity was reinstated in May 2015. According to the interlocutors most of the reconstruction has been done by the residents themselves since they only receive very little help from the ""local administration"" in Olhovatka. No infrastructure like postal service, shops, school, kindergarten, or administration is working in the village, and residents have to go to Olhovatka even for daily shopping.",Community,8,"OSCE Special Monitoring Mission","Livelihoods/Early Recovery","United Nations OCHA",No," ",0,"Not addressed",2016-03-30,8," "," "," ",48.1734,37.7852
2016-03-29,Donetska,Starobeshivskyi,Starobesheve_1424555100,1400000000,1424500000,1424555100," "," ",NGCA,"Need Overview"," ",Other,"The need of re-establishing the cellular service ","Service has not been functioning for the past two weeks.",Community,5,"OSCE Special Monitoring Mission","Livelihoods/Early Recovery","United Nations OCHA",Yes," ",0,"Not addressed",2016-03-29,5," "," "," ",47.7518,38.0288
2016-03-29,Donetska,Horlivska,Zaitseve_1410665600,1400000000,1410600000,1410665600," "," ",GCA,"Support Request"," ","Access to shelter","Need materials for roofing.","Village continue to receive humanitarian aid from the ICRC, humanitarian organizations Angel and Pomozhem  as well as volunteers. Despite receiving building materials from the ICRC, residents need roofing.",Community,1,"OSCE Special Monitoring Mission","Emergency Shelter/NFI","United Nations OCHA",No," ",0,"Not addressed",2016-03-29,1," "," "," ",48.4018,38.0049
2016-03-29,Donetska,Amvrosiivskyi,Fedorivka_1420684005,1400000000,1420600000,1420684005," "," ",NGCA,"Mine Risk"," ","Presence of landmines and/or EWRs","Farming disturbed due to mines","Local residents have allegedly found UXOs in the fields and express fear to start cultivating the fields.",Community,2,"OSCE Special Monitoring Mission",Protection,"United Nations OCHA",Yes," ",0,"Not addressed",2016-03-29,2," "," "," ",47.942,38.199
2016-03-29,Donetska,Volodarskyi,Pryovrazhne_1421781604,1400000000,1421700000,1421781604," "," ",GCA,"Need Overview"," ","Access to water","No drinking water. No public transportation."," ",Community,22,"OSCE Special Monitoring Mission","Water Sanitation Hygiene, Livelihoods/Early Recovery","United Nations OCHA",Yes," ",0,"Not addressed",2016-03-29,22," "," "," ",47.257,37.6355
2016-04-19,Donetska,Kramatorska,Kramatorsk_1412900000,1400000000,1412900000,1412900000," "," ",GCA,"Mine Risk"," ","Presence of landmines and/or EWRs","Farming disturbed due to mines","Department of Development of Rural Areas, Implementation of Reforms and Agroindustrial Complex informed about numerous farmers registered complaints regarding mines and UXOs on their lands. These complaints are forwarded to a military registration office in Kramatorsk, responsible for the facilitation of demining and removing of UXOs. According to the interlocutors, at the moment approximately 53,000ha of farming land are affected by the conflict.",Community,2,"OSCE Special Monitoring Mission",Protection,"United Nations OCHA",Yes," ",0,"Not addressed",2016-04-19,2," "," "," ",48.728,37.5642
2016-04-18,Donetska,Novoazovskyi,Siedove,1400000000,1423600000,1423655400," "," ",NGCA,"Need Overview",Yes,"Access to shelter","Kindergarten bulding requiere repairs.","Kindergarten No. 30 suffered damages from shelling impacts on 1 August 2015. The ""Deputy Mayor"" and the ""Director of the Kindergarten"" explained that the repairs are part of the ""local administration's"" 3-stages repair and rehabilitation scheme that in the ""DPR""-controlled part of Donetsk covers all but ""grey areas"". The repair and reconstruction program is currently in the final stages of its ""part two"", the last stage will depend on available funds. Altogether 64 children go to this Kindergarten, which lacks a basement to be used as a shelter. ","Non-displaced population",40,"OSCE Special Monitoring Mission","Livelihoods/Early Recovery","United Nations OCHA",Yes," ",0,"Not addressed",2016-04-18,5," "," "," ",47.073,38.158
2016-04-02,Luhanska,Kreminskyi,Kudriashivka,4400000000,4421600000,4421681901," "," ",GCA,"Need Overview",Yes,Other,"No infrastructure like postal service, shops, school, kindergarten, or administration is working in the village.","Residents in government-controlled western Zaitseve told there are neither shops, schools nor a hospital in that part of the village. ","Community,NDP",123,"OSCE Special Monitoring Mission","Livelihoods/Early Recovery","United Nations OCHA",Yes," ",1,"Addressed but unresolved",2016-04-02,1," "," "," ",49.035,38.43
2016-07-11,Donetska,Kirovska,Kirovske,1400000000,1412500000,1412500000," "," ",NGCA,"Need Overview",No,"Access to NFI"," "," ","Individuals,NDP",456," ","Livelihoods/Early Recovery"," ",Yes," ",0,resolved,1900-01-01,0," "," "," ",48.146,38.36
2016-07-04,Donetska,Krasnolymanskyi,Nove,1400000000,1423000000,1423083205,"neque odio nihil","ratione similique vero",GCA,"Support Request",No,"Access to health services"," "," ",Community,122," ","Livelihoods/Early Recovery","odio libero nostrum",Yes," ",76,"Addressed but unresolved",2016-07-13,46,"dicta ipsa pariatur",http://cruz.info/register.htm," ",49.164,37.84
2015-07-31,Donetska,Krasnolymanskyi,Zakitne,1400000000,1423000000,1423056401,"saepe maiores ex","accusamus aliquam molestias",NGCA,"Mine Risk",No,"Access to humanitarian assistance","At consectetur earum doloremque quibusdam itaque ullam necessitatibus. Deleniti delectus expedita ad."," ",NDP,83," ","Emergency Shelter/NFI","autem quisquam doloribus",Yes," ",43,resolved,2015-09-27,20," ",http://www.thomas-parker.com/post/," ",48.899,37.951
2016-05-24,Donetska,Dobropilskyi,"Novyi Donbas",1400000000,1422000000,1422088003,"minus tempora vitae","voluptatum placeat animi",NGCA,"Support Request",No,"Access to health services","Sit et ea occaecati accusamus eius quaerat corrupti. Saepe velit libero placeat mollitia. Sed sint tempore asperiores deleniti."," ",NDP,56," ","Water Sanitation Hygiene"," ",No,"voluptas non atque totam saepe dolorem molestias recusandae",18,"Addressed but unresolved",2016-06-24,13,"laboriosam quidem nihil"," ","Molestias quis molestias officia quas perspiciatis molestias. Asperiores sapiente reprehenderit sunt fugit. Fugit ea sapiente suscipit adipisci.",48.45,37.181
2016-06-24,Donetska,Amvrosiivskyi,Amvrosiivka,1400000000,1420600000,1420610100," "," ",GCA,"Mine Risk",No,"Access to humanitarian assistance","Iusto quo aut repudiandae. Commodi deserunt rerum vero aut eius cupiditate quisquam. Magnam vel reiciendis aut nisi delectus.","Corporis cum possimus velit labore. Facere modi sit ut deleniti. Dolor saepe odio atque vero.",NDP,105," ",Protection," ",No," ",91,"Addressed but unresolved",2016-06-27,20," "," "," ",47.79,38.483
2015-03-01,Donetska,Amvrosiivskyi,Novoukrainske,1400000000,1420600000,1420680409," "," ",GCA,"Need Overview",No,"Access to humanitarian assistance"," "," ",Individuals,84," ",Protection,"enim ducimus ipsa",No," ",35,resolved,2015-05-19,39," "," ","Sunt nisi porro voluptatum expedita animi. Blanditiis debitis assumenda reiciendis. Quia quidem laborum iusto modi tempore optio quo. Excepturi eligendi sequi neque quisquam porro sit eos.",47.797,38.787
2015-05-02,Donetska,Makiivska,Lebiazhe,1400000000,1413500000,1413567803,"illo nobis sunt"," ",GCA,"Support Request",Yes,"Presence of landmines and/or EWRs"," ","Autem alias sed harum debitis doloremque. Fugiat temporibus a sed temporibus enim.",Individuals,79,"eaque sunt accusantium","Emergency Shelter/NFI","ad non itaque",No,"debitis delectus eius repellat saepe tenetur nobis molestias",10,"Not addressed",2015-09-19,65,"nostrum saepe ducimus",http://www.lewis-mason.com/," ",48.187,37.945
2015-05-23,Luhanska,Krasnolutska,Zaporizhzhia,4400000000,4411600000,4411645700," "," ",GCA,"Mine Risk",No,"Access to NFI","Et nisi itaque culpa sed officia. Odit nam atque cupiditate."," ",Individuals,49,"rerum laborum nostrum",Health/Nutrition," ",Yes," ",23,"Addressed but unresolved",2015-12-02,6," ",http://www.holloway.biz/categories/explore/author/," ",48.256,38.721
2016-02-28,Donetska,Kramatorska,"Yasna Poliana",1400000000,1412900000,1412947400,"neque labore reprehenderit"," ",NGCA,"Support Request",Yes,"Access to shelter"," "," ",Community,19,"error quo eos","Water Sanitation Hygiene","ad nihil id",Yes," ",2,resolved,2016-03-10,6,"aliquid rem temporibus"," ","Id vel reiciendis sapiente sapiente itaque similique. Soluta numquam soluta eum quas. Mollitia facere hic sit mollitia aut. Ea inventore adipisci laudantium quod itaque fugit doloribus.",48.748,37.523
2016-02-19,Luhanska,Lysychanska,Novodruzhesk,4400000000,4411800000,4411870400," ","corporis impedit commodi",NGCA,"Support Request",No,"Access to water","Repellat voluptate atque debitis a doloremque ad. Tenetur repellat illo ea eius laboriosam. Sapiente commodi ab sunt.","Beatae eius culpa fugit odit. Rerum ex sint itaque provident.",NDP,112," ","Water Sanitation Hygiene","assumenda natus eum",No," ",82,"Not addressed",2016-05-11,67,"laboriosam provident odit"," "," ",48.963,38.345
2016-06-08,Donetska,Snizhnianska,"Chervonyi Zhovten",1400000000,1414400000,1414447101,"distinctio inventore quidem","porro mollitia ex",NGCA,"Need Overview",No,"Access to humanitarian assistance"," "," ",Community,88," ",Education," ",Yes,"dolorum veniam officiis blanditiis perspiciatis commodi harum optio",53,resolved,2016-06-25,51," "," "," ",47.97,38.733
2015-07-05,Donetska,Dokuchaievska,Dokuchaievsk,1400000000,1411600000,1411600000," "," ",GCA,"Mine Risk",Yes,"Access to shelter"," "," ",Community,80," ","Livelihoods/Early Recovery"," ",No," ",20,resolved,2016-01-04,40,"error pariatur sint"," "," ",47.749,37.677
2016-07-17,Luhanska,Krasnolutska,Verhulivske,4400000000,4411600000,4411670903,"consequuntur sapiente unde","minus eum accusamus",NGCA,"Need Overview",No,"Access to health services"," "," ",Individuals,111," ","Emergency Shelter/NFI"," ",No,"mollitia voluptatem eos sit in provident ipsam minima",34,"Not addressed",2016-07-18,65,"enim perspiciatis deleniti"," ","Blanditiis eos at corrupti sit cumque. Architecto maxime in porro ut est iusto perspiciatis. Voluptate consequatur cum dolores odit reiciendis fugiat. Iure ipsa corporis eius corrupti vero velit.",48.323,38.828
2016-07-19,Donetska,Novoazovskyi,Samiilove,1400000000,1423600000,1423686601,"qui reiciendis ad"," ",NGCA,"Need Overview",No,Other,"Non exercitationem ad officia temporibus sit culpa. Eos nostrum corporis minus earum alias illo iure quidem."," ",Individuals,98," ","Food Security","fugiat ullam exercitationem",Yes,"quia dolorem magni maxime atque sunt hic dolores",64,"Addressed but unresolved",2016-07-19,95," ",http://www.kim.com/login/,"Voluptatum odit recusandae nesciunt tempora. Aliquam autem alias aut repudiandae blanditiis. Porro commodi amet similique autem sunt veniam quisquam.",47.256,38.248
2015-10-07,Luhanska,Milovskyi,Morozivka,4400000000,4422800000,4422883301," ","quisquam reprehenderit corporis",GCA,"Support Request",No,"Access to water","Sapiente et asperiores eum dignissimos dolore iste quam. Enim tempore molestias rerum. Ipsa rerum eos magnam quas."," ",Individuals,108," ",Health/Nutrition," ",Yes," ",4,resolved,2016-03-02,1,"recusandae harum ipsum",http://www.jones-lee.info/tags/index.htm," ",49.461,39.89
2016-02-10,Donetska,Kostiantynivska,Kostiantynivka,1400000000,1412600000,1412600000," ","occaecati placeat temporibus",NGCA,"Need Overview",Yes,"Access to water"," "," ",Individuals,12,"culpa voluptates ut","Livelihoods/Early Recovery"," ",Yes," ",1,"Not addressed",2016-02-11,2,"accusamus deleniti fugit",http://www.zuniga.com/," ",48.522,37.701
2015-05-10,Donetska,Kostiantynivskyi,Illicha,1400000000,1422400000,1422482701,"illum reiciendis totam","minima dolorem atque",NGCA,"Mine Risk",No,"Presence of landmines and/or EWRs"," "," ",IDP,23," ",Protection,"corporis quas rem",Yes,"officia officia quis voluptas nemo adipisci voluptates nulla",10,resolved,2015-10-08,18," "," "," ",48.493,37.668
2016-04-07,Donetska,Krasnoarmiiskyi,Yevhenivka,1400000000,1422700000,1422781604," ","voluptatum eos fugiat",NGCA,"Mine Risk",Yes,"Presence of landmines and/or EWRs"," "," ",NDP,70,"ab eum quaerat",Logistics,"repellat illum accusantium",Yes,"nisi vitae est ullam nostrum corrupti pariatur eos",47,resolved,2016-05-18,64,"laboriosam quibusdam rerum",http://www.houston.com/categories/faq.asp," ",48.234,37.534
2016-01-19,Donetska,Amvrosiivskyi,Semenivske,1400000000,1420600000,1420680411,"debitis laboriosam laborum","accusantium magnam saepe",NGCA,"Mine Risk",No,"Access to humanitarian assistance"," "," ",Community,53,"occaecati dolorem ipsa","Food Security"," ",Yes,"ducimus dolorum qui eum voluptas cumque adipisci possimus",34,"Not addressed",2016-05-29,49,"quasi voluptates porro"," ","Inventore atque corrupti iusto hic molestias. Hic nostrum sunt aliquid nemo impedit sequi. Sapiente perspiciatis saepe ipsa.",47.853,38.756
2016-01-09,Donetska,Artemivskyi,"Fedorivka Druha",1400000000,1420900000,1420985909," ","expedita placeat pariatur",NGCA,"Need Overview",No,"Access to health services"," "," ",Individuals,53," ","Water Sanitation Hygiene"," ",No," ",21,"Not addressed",2016-03-02,2," ",http://www.houston-santiago.com/wp-content/blog/search/index.php," ",48.765,37.853
2015-04-14,Luhanska,Krasnolutska,Sadovo-Khrustalnenskyi,4400000000,4411600000,4411646400," ","ipsam vel perspiciatis",GCA,"Need Overview",Yes,"Access to water"," "," ",Individuals,102,"cumque quia distinctio","Food Security","minima quibusdam pariatur",Yes," ",64,"Not addressed",2016-04-24,24," "," "," ",48.152,38.726
2015-10-30,Luhanska,Antratsytska,Sadovyi,4400000000,4410300000,4410345305,"corporis itaque quam","vitae vel sequi",NGCA,"Mine Risk",No,"Access to NFI","Eius reiciendis impedit nihil ad praesentium. Minus consectetur occaecati mollitia. Commodi iste error cum enim repellat animi.","Quibusdam modi mollitia facilis. Delectus quod in placeat. Assumenda veniam magni eveniet sint.",NDP,57,"facere culpa nam",Health/Nutrition," ",Yes," ",48,"Not addressed",2016-03-12,43," ",http://luna.com/,"Illum provident adipisci nemo maiores optio. Culpa mollitia ipsam voluptatem repellat neque molestiae laborum. Quos facilis impedit iure odio occaecati. Non vitae incidunt molestiae nobis.",48.1,38.991
2015-09-20,Luhanska,Luhanska,Yuvileine,4400000000,4410100000,4410165900," "," ",NGCA,"Need Overview",No,"Access to health services"," ","A ullam quam impedit debitis esse error. Nulla recusandae repudiandae ab.",Community,0," ","Emergency Shelter/NFI","ex quaerat ab",Yes,"ab distinctio occaecati repudiandae deleniti dolor recusandae mollitia",0,"Addressed but unresolved",2015-11-23,0,"id eligendi quis",http://www.smith.com/," ",48.553,39.184
2016-05-27,Luhanska,Slovianoserbskyi,"Krasnyi Luch",4400000000,4424500000,4424555903," "," ",GCA,"Mine Risk",No,"Access to health services"," "," ",Community,101," ","Livelihoods/Early Recovery","aliquid voluptatibus eius",No," ",17,resolved,2016-05-28,41," ",http://campbell-gordon.com/register.php,"Aperiam ducimus harum aspernatur cupiditate. Omnis laboriosam distinctio sint impedit vitae.",48.577,39.029
2015-09-23,Luhanska,Krasnodonskyi,Khoroshylove,4400000000,4421400000,4421486607," "," ",GCA,"Need Overview",No,"Access to water"," "," ",IDP,75,"voluptate cumque vel",Health/Nutrition," ",No," ",58,resolved,2016-03-29,64,"quisquam odio voluptates",http://www.carey.com/tags/search/,"Neque aut hic dicta facere esse fugiat. Soluta exercitationem quas accusamus aspernatur ab blanditiis. Exercitationem hic quibusdam consectetur fugit ipsum repellat nam.",48.565,39.732
2016-03-08,Donetska,Dokuchaievska,Dokuchaievsk,1400000000,1411600000,1411600000,"ratione dolor qui"," ",GCA,"Need Overview",Yes,Other," "," ",NDP,80,"sequi error rem","Water Sanitation Hygiene"," ",Yes,"molestiae odio perferendis vitae est aut officia doloribus",2,"Addressed but unresolved",2016-05-09,41,"ducimus sapiente eos"," ","Molestias sit accusantium tempora quae dolore aliquid. Porro recusandae repudiandae ipsum ullam voluptas repudiandae doloribus.",47.749,37.677
2015-08-20,Donetska,Telmanivskyi,Zaporozhets,1400000000,1424800000,1424882903," ","quos eaque veritatis",NGCA,"Need Overview",Yes,Other," "," ",NDP,32,"aut quo perspiciatis","Livelihoods/Early Recovery","placeat quasi perferendis",No,"nihil laboriosam laborum maxime expedita quae quam blanditiis",2,"Not addressed",2016-02-10,24,"nemo esse cum",http://www.klein.net/," ",47.375,37.971
2015-10-29,Luhanska,Krasnodonska,Novosimeikyne,4400000000,4411400000,4411470401,"nulla odit et","ab sit nisi",GCA,"Support Request",No,"Access to water","Omnis quisquam nemo est. Nesciunt tempore tempore quasi repellat ipsum vero.","Tenetur repellendus ducimus nobis praesentium fugiat adipisci. Corporis hic dolorum suscipit in.",Individuals,13," ","Emergency Shelter/NFI"," ",Yes," ",8,resolved,2016-05-18,11,"impedit quia voluptas",http://keller-gonzalez.com/tags/search.htm," ",48.343,39.617
2016-06-29,Luhanska,Lutuhynskyi,Yasne,4400000000,4422200000,4422282207,"quod fuga est"," ",GCA,"Mine Risk",No,"Access to health services","Voluptates quaerat recusandae recusandae fugiat aliquid. Quia unde corporis ratione voluptatum.","Inventore architecto fuga sed neque eius amet. Autem quasi sit dolorem tempore culpa praesentium.",NDP,29,"exercitationem et soluta","Emergency Shelter/NFI"," ",Yes," ",0,"Addressed but unresolved",2016-07-17,9,"totam impedit nihil",http://saunders.org/,"Hic voluptates porro eveniet occaecati incidunt fugit. Aut iusto ipsum esse. Eligendi quo in consequuntur harum. Adipisci veritatis aut minima fugiat fugit quas ipsam unde.",48.4,39.09
2016-05-02,Luhanska,Lutuhynskyi,Piatyhorivka,4400000000,4422200000,4422285507," ","dicta debitis repudiandae",NGCA,"Mine Risk",No,"Access to water","Quaerat nam sunt tenetur natus culpa. Voluptates cum aliquid nobis in eaque itaque. Eveniet eos ipsa tempore dolorem dolorem."," ",Individuals,146,"quis rem dolor","Water Sanitation Hygiene"," ",Yes," ",122,"Not addressed",2016-05-22,116," ",http://martinez.com/list/home.html,"Rem facere dicta quos sequi. Similique fugit laboriosam itaque. Minima dolor vero esse in. Et quis vel labore dignissimos laborum neque laudantium.",48.348,39.388
2015-04-10,Luhanska,Troitskyi,Bohorodytske,4400000000,4425400000,4425484502," ","asperiores expedita quibusdam",NGCA,"Need Overview",Yes,"Access to shelter"," "," ",Individuals,75," ",Protection," ",No," ",21,"Addressed but unresolved",2016-04-02,16," "," ","Architecto similique nisi incidunt illum dolorum officiis. Harum qui deleniti impedit asperiores. Ea quas eveniet itaque labore animi vitae. Quis perferendis unde neque non.",49.725,38.121
2015-10-25,Luhanska,Novopskovskyi,Hanusivka,4400000000,4423300000,4423380701," "," ",GCA,"Support Request",No,"Access to NFI"," ","Incidunt porro aliquam in. Ipsum quo quo ut nemo sunt corporis.",NDP,91,"quis laboriosam hic","Water Sanitation Hygiene","magni excepturi eaque",Yes,"eos reprehenderit est sit unde tempore minus facere",60,"Addressed but unresolved",2016-04-30,60," "," ","Quia amet pariatur animi deserunt esse voluptates. Eveniet fugit illo assumenda. Cum voluptates optio rerum mollitia veritatis dolorum consequatur.",49.704,39.371
2016-01-07,Donetska,Shakhtarska,Hirne,1400000000,1415300000,1415390003," ","inventore sit sit",NGCA,"Mine Risk",Yes,"Access to NFI"," "," ",Community,28," ","Livelihoods/Early Recovery"," ",Yes,"quidem hic quis aliquid excepturi eveniet voluptate voluptatum",8,"Not addressed",2016-06-02,6," ",http://www.ramirez.info/," ",48.037,38.548
2015-07-24,Luhanska,Kirovska,Tavrychanske,4400000000,4411000000,4411045703," "," ",GCA,"Need Overview",No,Other," ","Tempora illum facere odit. Est soluta sunt recusandae odit.",Individuals,108," ",Protection," ",Yes," ",22,"Addressed but unresolved",2016-06-13,1,"nihil architecto nostrum"," ","Maiores natus fugiat omnis modi rem. Doloremque expedita enim perspiciatis eum ipsa quo. Expedita dolor ducimus nemo fugiat. Fugiat magni aut omnis doloremque repellendus.",48.629,38.693
2015-04-28,Luhanska,Lutuhynskyi,Shymshynivka,4400000000,4422200000,4422255504," "," ",NGCA,"Support Request",No,"Presence of landmines and/or EWRs"," ","Necessitatibus nobis fugit impedit blanditiis. Occaecati a nisi nobis omnis.",Individuals,69," ",Protection,"nulla vel eius",Yes," ",50,"Not addressed",2015-12-06,51," "," "," ",48.439,38.985
